id,sub-category,title,description,verifiability
1,1,국정농단과 적폐조사 및 재발방지 대책마련을 위해 「적폐청산특별 조사위원회(가칭)」 설치,,가능
2,1,"국정농단을 야기한 각종 적폐 분석, 공작정치 등 특검에서 제기된 각종 의혹에 대한 조사와 진상규명 및 보충수사",,위와 통합
3,1,부정축재 재산에 대한 국가귀속 추진 등 후속조치 및 관련 사안에 대한 종합적인 대책 마련,,가능
4,2,"독립적인 부패방지기구인 '국가청렴위원회'(가칭) 설립을 추진하고, 종합적이고 체계적인 반부패정책을 마련하여 ""투명한 사회, 청렴한 국가""를 구축",,위와 통합
5,2,공직자의 민간에 대한 부정한 청탁에 대한 규제 강화,,불가
6,2,내부 고발자 등 공익신고자에 대한 보호 강화,,불가
7,2,"뇌물, 알선수재, 알선수뢰, 배임, 횡령 등의 '5대 중대 범죄' 양형 강화 및 대통령의 사면권 제한 추진",,가능
8,2,"불공정 거래행위 등 경제범죄와 재난, 환경 등 집단피해 발생 사건까지 국민참여재판의 대상 확대 추진",,가능
9,2,위법한 행위로 인한 국가예산 낭비에 대한 손해의 예방이나 회복을 위한 국민소송제도 도입,,가능
10,2,민간기업에 대한 법령에 근거 없는 기부금 징수 행위 금지 추진,,?
11,2,국민감사청구 대상을 공공기관 및 사업보조금 지원단체로 확대,,가능
12,3,문화계 블랙리스트 사태에 대한 철저한 진상조사 및 시정조치,,가능
13,3,정부 · 지원기관 · 문화계간 '공정성 협약(Fairness Charter)' 체결 추진,지원하되 간섭하지 않는다'는 원칙 준수,불가
14,3,"문화예술 지원기관의 독립성, 자율성 보장",,불가
15,3,문화예술 지원심사의 투명성 확대,"심의위원 및 심의결과 공개, 심사기록 작성 · 보관 의무화",?
16,3,현장 문화예술인의 지원정책 결정 참여 확대,기관장 선임과 위원회 구성 시 현장 문화예술인의 참여와 추천권 보장,?
17,3,문화 옴부즈만 제도 도입,,불가
18,4,역사교과서 다양성 보장을 위한 역사교과서 국정화 금지,,?
19,4,교육과정개정위원회를 설치해 교육과정 개정과 국 · 검 · 인정 결정의 교육민주성 보장,,가능
20,4,헌법이념을 고양하고 교육의 질을 재고하기 위해 중 · 고등학교 입시와 관련 없는 과목부터 점진적으로 교과서 자유발행제 추진,,위와 통합
21,4,국립대학 총장 선출에 있어 대학 구성원들의 자율권 보장,,?
22,4,사학비리 근절,"- 사회분쟁조정위원회 역할 조정
- 비리당사자 복귀 금지 및 임시이사 파견 요견 확대
- 감사 및 회계 감리 강화",가능
23,4,입시 · 학사비리 연루된 대학은 각종 지원 배제 · 중단으로 투명한 대학 입시 정착,,위와 통합
24,4,초중등교육에서 민주 시민교육 확대,,불가
